id,uri,title,published,isbn,author
GB7901642,http://bnb.data.bl.uk/id/resource/007437386,"Bath before Beau Nash : a guide based on Gilmore's Map of Bath, 1692-4",1978,0906230055,Meg Hamilton
GB8303872,http://bnb.data.bl.uk/id/resource/012688458,They came to Bath,1982,090545944X,William Lowndes
GBA606982,http://bnb.data.bl.uk/id/resource/012866860,"Bath commercialis'd : shops, trades and market at the 18th-century spa",2002,0952632632,Trevor Fawcett
GBA635699,http://bnb.data.bl.uk/id/resource/013436584,Cafe Tropicana,2006,0099489872,Belinda Jones
GB99Y2941,http://bnb.data.bl.uk/id/resource/008809956,A city of palaces : Bath through the eyes of Fanny Burney,1999,0948975539,Maggie Lane
GBB258635,http://bnb.data.bl.uk/id/resource/016105231,Emerald flame,1997,0745187536,Virginia Coffman
GB7902663,http://bnb.data.bl.uk/id/resource/007437387,Bath : some encounters with science,1978,0906230101,W. J. Williams
GBB098759,http://bnb.data.bl.uk/id/resource/015630014,The Penningtons,2010,1847513204,Pamela Oldfield
GBA606933,http://bnb.data.bl.uk/id/resource/006914706,"Stuart Bath : life in the forgotten city, 1603-1714",2004,0952024942,John Wroughton
GBB259968,http://bnb.data.bl.uk/id/resource/016107384,Bath through time,2012,1445606151,Jenny Knight
GBA066056,http://bnb.data.bl.uk/id/resource/012599309,"The image of Georgian Bath, 1700-2000 : towns, heritage, and history",2000,0198202652,Peter Borsay
GB7214303,http://bnb.data.bl.uk/id/resource/009932348,Aquae Sulis,1971,0602214815,Barry W. Cunliffe
GBA1W5757,http://bnb.data.bl.uk/id/resource/010726933,"Bath at war: the home front, 1939-1945",2001,0750926724,David Falconer
GBA920770,http://bnb.data.bl.uk/id/resource/014916416,A traveller's history of Bath,2009,1905214650,Richard Tames
GB7219252,http://bnb.data.bl.uk/id/resource/012250914,"Bath in the Age of Reform, (1830-1841)",1972,0903044056,John Wroughton
GB8715327,http://bnb.data.bl.uk/id/resource/007441443,The bombing of Bath : the German air raids of April 1942,1983,0906798299,Niall Rothnie
GBA924062,http://bnb.data.bl.uk/id/resource/013814583,Near Bristol & Bath,2007,1846740142,Nigel Vile
GBA692977,http://bnb.data.bl.uk/id/resource/013590762,Getting toasted,2006,1846854199,Samantha Vickery
GB8615206,http://bnb.data.bl.uk/id/resource/010742935,The city of Bath,1986,0862992508,Barry W. Cunliffe
GBA646949,http://bnb.data.bl.uk/id/resource/013465126,Stories of Bath : a selective history in eleven episodes,2006,0948975776,Diana White
GBB0E0852,http://bnb.data.bl.uk/id/resource/015349688,Bath gyratory : stone & spa walk,2009,0956290000,Barb Drummond
